Linguagem: GO
Algoritmo: Counting Sort
Input: inputs/input5.dat
Execução 1: 0.017841
Execução 2: 0.018032
Execução 3: 0.014192
Execução 4: 0.016431
Execução 5: 0.031162
Execução 6: 0.026814
Execução 7: 0.019377
Execução 8: 0.019108
Execução 9: 0.018720
Execução 10: 0.016347
