Linguagem: GO
Algoritmo: Counting Sort
Input: inputs/input5.dat
Execução 1: 0.017836
Execução 2: 0.032471
Execução 3: 0.024316
Execução 4: 0.021614
Execução 5: 0.032880
Execução 6: 0.027580
Execução 7: 0.020092
Execução 8: 0.027532
Execução 9: 0.028438
Execução 10: 0.021014
