Linguagem: C
Algoritmo: Counting Sort
Input: inputs/input6.dat
Tempos de execução (em segundos):
Execução 1: 0.191897
Execução 2: 0.191759
Execução 3: 0.191547
Execução 4: 0.194893
Execução 5: 0.190925
Execução 6: 0.195606
Execução 7: 0.194477
Execução 8: 0.194409
Execução 9: 0.193395
Execução 10: 0.190598
