Linguagem: C
Algoritmo: introsort Sort
Input: inputs/input6.dat
Tempos de execução (em segundos):
Execução 1: 2.378277
Execução 2: 2.305225
Execução 3: 2.296549
Execução 4: 2.358666
Execução 5: 2.405762
Execução 6: 2.372776
Execução 7: 2.334149
Execução 8: 2.313171
Execução 9: 2.293164
Execução 10: 2.289436
