Linguagem: GO
Algoritmo: Counting Sort
Input: inputs/input2.dat
Execução 1: 0.000101
Execução 2: 0.000083
Execução 3: 0.000080
Execução 4: 0.000079
Execução 5: 0.000086
Execução 6: 0.000078
Execução 7: 0.000073
Execução 8: 0.000080
Execução 9: 0.000078
Execução 10: 0.000073
Execução 11: 0.000082
Execução 12: 0.000075
Execução 13: 0.000078
Execução 14: 0.000079
Execução 15: 0.000078
Execução 16: 0.000073
Execução 17: 0.000082
Execução 18: 0.000075
Execução 19: 0.000098
Execução 20: 0.000095
