Linguagem: GO
Algoritmo: Intro Sort
Input: inputs/input6.dat
Execução 1: 0.615159
Execução 2: 0.616206
Execução 3: 0.613672
Execução 4: 0.614667
Execução 5: 0.628284
Execução 6: 0.630574
Execução 7: 0.629852
Execução 8: 0.631430
Execução 9: 0.627989
Execução 10: 0.630217
Execução 11: 0.630248
Execução 12: 0.629349
Execução 13: 0.630351
Execução 14: 0.628257
Execução 15: 0.629093
Execução 16: 0.626694
Execução 17: 0.631628
Execução 18: 0.629265
Execução 19: 0.627537
Execução 20: 0.625263
