Linguagem: GO
Algoritmo: Intro Sort
Input: inputs/input4_dord.dat
Execução 1: 0.008857
Execução 2: 0.008919
Execução 3: 0.009071
Execução 4: 0.009112
Execução 5: 0.008947
Execução 6: 0.009120
Execução 7: 0.009090
Execução 8: 0.009103
Execução 9: 0.008833
Execução 10: 0.008932
Execução 11: 0.008856
Execução 12: 0.009127
Execução 13: 0.008775
Execução 14: 0.009616
Execução 15: 0.008650
Execução 16: 0.008948
Execução 17: 0.009448
Execução 18: 0.008850
Execução 19: 0.008813
Execução 20: 0.008600
