Linguagem: GO
Algoritmo: Intro Sort
Input: inputs/input5_dord.dat
Execução 1: 0.119384
Execução 2: 0.115879
Execução 3: 0.117501
Execução 4: 0.115003
Execução 5: 0.115841
Execução 6: 0.116448
Execução 7: 0.115857
Execução 8: 0.114337
Execução 9: 0.114723
Execução 10: 0.114553
Execução 11: 0.115848
Execução 12: 0.130246
Execução 13: 0.135824
Execução 14: 0.121745
Execução 15: 0.120680
Execução 16: 0.119124
Execução 17: 0.116210
Execução 18: 0.115653
Execução 19: 0.114882
Execução 20: 0.115352
